,zip_code,distance,city,state
77,80202,0.0,"""Denver""","""CO"""
76,80294,0.45899999999999996,"""Denver""","""CO"""
74,80293,0.557,"""Denver""","""CO"""
72,80290,0.7929999999999999,"""Denver""","""CO"""
70,80264,0.914,"""Denver""","""CO"""
107,80211,1.6,"""Denver""","""CO"""
65,80203,1.6059999999999999,"""Denver""","""CO"""
67,80204,1.695,"""Denver""","""CO"""
78,80205,1.8880000000000001,"""Denver""","""CO"""
64,80218,2.031,"""Denver""","""CO"""
63,80206,2.807,"""Denver""","""CO"""
110,80212,3.017,"""Denver""","""CO"""
114,80216,3.327,"""Denver""","""CO"""
57,80209,3.551,"""Denver""","""CO"""
71,80214,3.8510000000000004,"""Denver""","""CO"""
52,80223,3.8939999999999997,"""Denver""","""CO"""
106,80207,4.351,"""Denver""","""CO"""
51,80219,4.4110000000000005,"""Denver""","""CO"""
66,80220,4.471,"""Denver""","""CO"""
116,80221,4.56,"""Denver""","""CO"""
56,80246,4.7860000000000005,"""Denver""","""CO"""
108,80034,5.085,"""Wheat Ridge""","""CO"""
40,80210,5.523,"""Denver""","""CO"""
58,80226,5.676,"""Denver""","""CO"""
121,80030,5.852,"""Westminster""","""CO"""
111,80033,5.867999999999999,"""Wheat Ridge""","""CO"""
60,80230,6.119,"""Denver""","""CO"""
120,80003,6.164,"""Arvada""","""CO"""
109,80238,6.266,"""Denver""","""CO"""
73,80215,6.32,"""Denver""","""CO"""
42,80224,6.3660000000000005,"""Denver""","""CO"""
115,80002,6.443,"""Arvada""","""CO"""
41,80232,6.675,"""Denver""","""CO"""
38,80222,6.695,"""Denver""","""CO"""
98,80273,6.779,"""Denver""","""CO"""
80,80208,6.779,"""Denver""","""CO"""
85,80248,6.779,"""Denver""","""CO"""
84,80244,6.779,"""Denver""","""CO"""
99,80274,6.779,"""Denver""","""CO"""
100,80279,6.779,"""Denver""","""CO"""
101,80280,6.779,"""Denver""","""CO"""
83,80243,6.779,"""Denver""","""CO"""
