,zip_code,distance,city,state
60,78705,0.0,"""Austin""","""TX"""
56,78712,0.95,"""Austin""","""TX"""
57,78722,1.4680000000000002,"""Austin""","""TX"""
63,78751,1.486,"""Austin""","""TX"""
59,78703,1.642,"""Austin""","""TX"""
55,78701,1.66,"""Austin""","""TX"""
53,78799,1.6840000000000002,"""Austin""","""TX"""
66,78756,1.931,"""Austin""","""TX"""
36,78767,2.372,"""Austin""","""TX"""
35,78766,2.372,"""Austin""","""TX"""
34,78765,2.372,"""Austin""","""TX"""
49,78789,2.372,"""Austin""","""TX"""
32,78763,2.372,"""Austin""","""TX"""
31,78762,2.372,"""Austin""","""TX"""
37,78768,2.372,"""Austin""","""TX"""
33,78764,2.372,"""Austin""","""TX"""
38,78769,2.372,"""Austin""","""TX"""
43,78779,2.372,"""Austin""","""TX"""
40,78773,2.372,"""Austin""","""TX"""
41,78774,2.372,"""Austin""","""TX"""
42,78778,2.372,"""Austin""","""TX"""
30,78761,2.372,"""Austin""","""TX"""
44,78780,2.372,"""Austin""","""TX"""
45,78781,2.372,"""Austin""","""TX"""
46,78783,2.372,"""Austin""","""TX"""
48,78788,2.372,"""Austin""","""TX"""
39,78772,2.372,"""Austin""","""TX"""
29,78760,2.372,"""Austin""","""TX"""
47,78785,2.372,"""Austin""","""TX"""
27,78720,2.372,"""Austin""","""TX"""
28,78755,2.372,"""Austin""","""TX"""
16,73301,2.372,"""Austin""","""TX"""
17,73344,2.372,"""Austin""","""TX"""
19,78709,2.372,"""Austin""","""TX"""
20,78710,2.372,"""Austin""","""TX"""
18,78708,2.372,"""Austin""","""TX"""
22,78713,2.372,"""Austin""","""TX"""
23,78714,2.372,"""Austin""","""TX"""
24,78715,2.372,"""Austin""","""TX"""
25,78716,2.372,"""Austin""","""TX"""
26,78718,2.372,"""Austin""","""TX"""
21,78711,2.372,"""Austin""","""TX"""
51,78702,2.575,"""Austin""","""TX"""
62,78723,3.218,"""Austin""","""TX"""
67,78752,3.303,"""Austin""","""TX"""
54,78721,3.688,"""Austin""","""TX"""
15,78704,3.88,"""Austin""","""TX"""
71,78757,3.966,"""Austin""","""TX"""
69,78731,4.127,"""Austin""","""TX"""
61,78746,4.242,"""Austin""","""TX"""
13,78741,4.6530000000000005,"""Austin""","""TX"""
14,78742,5.956,"""Austin""","""TX"""
73,78798,6.281000000000001,"""Austin""","""TX"""
70,78786,6.544,"""Austin""","""TX"""
78,78758,6.736000000000001,"""Austin""","""TX"""
72,78754,6.9879999999999995,"""Austin""","""TX"""
10,78745,6.996,"""Austin""","""TX"""
58,78724,7.178999999999999,"""Austin""","""TX"""
77,78753,7.228,"""Austin""","""TX"""
79,78759,7.604,"""Austin""","""TX"""
74,78730,7.8260000000000005,"""Austin""","""TX"""
52,78735,8.002,"""Austin""","""TX"""
9,78719,8.044,"""Austin""","""TX"""
6,78744,8.154,"""Austin""","""TX"""
11,78749,8.847999999999999,"""Austin""","""TX"""
65,78733,8.912,"""Austin""","""TX"""
12,78725,8.945,"""Austin""","""TX"""
80,78750,9.397,"""Austin""","""TX"""
82,78727,9.451,"""Austin""","""TX"""
5,78748,10.163,"""Austin""","""TX"""
86,78651,10.890999999999998,"""Mc Neil""","""TX"""
75,78732,10.969000000000001,"""Austin""","""TX"""
81,78726,11.2,"""Austin""","""TX"""
88,78729,11.377,"""Austin""","""TX"""
87,78728,11.386,"""Austin""","""TX"""
2,78747,11.564,"""Austin""","""TX"""
7,78739,12.017999999999999,"""Austin""","""TX"""
84,78691,12.299000000000001,"""Pflugerville""","""TX"""
4,78617,13.100999999999999,"""Del Valle""","""TX"""
68,78653,13.193,"""Manor""","""TX"""
83,78660,13.202,"""Pflugerville""","""TX"""
64,78738,13.207,"""Austin""","""TX"""
50,78736,13.360999999999999,"""Austin""","""TX"""
89,78717,13.640999999999998,"""Austin""","""TX"""
3,78652,13.814,"""Manchaca""","""TX"""
76,78734,13.922,"""Austin""","""TX"""
8,78737,14.883,"""Austin""","""TX"""
90,78664,15.335999999999999,"""Round Rock""","""TX"""
91,78613,15.349,"""Cedar Park""","""TX"""
95,78683,15.454,"""Round Rock""","""TX"""
94,78682,15.454,"""Round Rock""","""TX"""
93,78680,15.454,"""Round Rock""","""TX"""
92,78630,15.870999999999999,"""Cedar Park""","""TX"""
1,78610,16.057000000000002,"""Buda""","""TX"""
96,78681,16.604,"""Round Rock""","""TX"""
85,78645,17.576,"""Leander""","""TX"""
97,78665,18.075,"""Round Rock""","""TX"""
98,78646,19.732,"""Leander""","""TX"""
99,,,,
