zcta,median age
601,35.9
602,37.5
603,38.2
606,36.2
610,38.1
612,39.2
616,38.7
617,35.4
622,44.4
623,38.6
624,33.4
627,37.2
631,41.3
637,37.9
638,35.9
641,38.1
646,36.4
647,39.7
650,35.4
652,34.3
653,36.1
656,36.1
659,37.1
660,41.5
662,37.9
664,33.1
667,39.8
669,37
670,36.7
674,37.1
676,35.1
677,40.5
678,36.6
680,37.4
682,36.1
683,39.6
685,38.9
687,33
688,37.6
690,35.8
692,35
693,36.5
694,41.3
698,38.2
703,35.8
704,32.5
705,37.7
707,38.1
714,35.1
715,42
716,37.6
717,37.8
718,34.3
719,35.1
720,34.6
723,38.4
725,37.8
727,36.8
728,35.1
729,35.2
730,37.8
731,35.4
735,37.6
736,37.4
738,37.6
739,35.7
740,33.2
741,37.1
745,36.6
751,35.8
754,36.8
757,33.6
765,39.8
766,33.4
767,36.7
769,34.8
771,35.3
772,33.4
773,36.9
775,39.6
777,34.4
778,35.6
780,34.5
782,35.1
783,34.8
784,34.7
786,36.8
791,37.7
794,32.2
795,34.3
901,42.6
906,52
907,47.3
909,39
911,44.5
912,41.5
913,28.5
915,36.8
917,42.9
918,39.2
920,43
921,36.7
923,37
924,35.9
925,31.6
926,39.1
927,45.3
934,31.2
936,17
949,35.8
950,29.5
951,53.5
952,38.3
953,34.1
956,37.6
957,36.9
959,38.6
960,30.3
961,39.6
962,33.6
965,36.4
966,42.3
968,55.5
969,40
971,38.7
976,36
979,45.6
982,40.3
983,37.9
985,39.2
987,35.6
1001,45.5
1002,24
1003,20.2
1005,41
1007,41.1
1008,45.8
1009,39.5
1010,44.6
1011,45.6
1012,47.4
1013,36.4
1020,43.1
1022,37.4
1026,47.7
1027,43.4
1028,45
1029,48.7
1030,42.9
1031,40.1
1032,46.1
1033,43.4
1034,46
1035,45.7
1036,47.1
1037,33.1
1038,47.7
1039,48.3
1040,35
1050,42.9
1053,52.1
1054,48.7
1056,42.6
1057,43.2
1060,35.1
1062,45
1063,20.7
1066,43
1068,43.7
1069,43.5
1070,48.2
1071,42.2
1072,44.7
1073,44.7
1074,28.6
1075,40.6
1077,43.6
1079,40
1080,39.7
1081,42.9
1082,41.3
1083,39.5
1084,49.3
1085,39.1
1086,19.4
1088,50.2
1089,40.4
1092,38.3
1093,51.2
1094,43.9
1095,46
1096,46.2
1097,27.5
1098,50.9
1103,35.7
1104,35.7
1105,28.8
1106,45.5
1107,27.3
1108,30.8
1109,27.5
1118,39.2
1119,31.9
1128,44.2
1129,40.7
1151,31.9
1199,0
1201,42.7
1220,44.5
1222,45.2
1223,48.4
1224,46
1225,45.7
1226,44.7
1229,55.5
1230,47.5
1235,45.8
1236,47.2
1237,46.1
1238,46
1240,52.2
1242,44
1243,49.8
1244,40.1
1245,51
1247,39.9
1253,47.5
1254,53.7
1255,49.9
1256,46
1257,49.8
1258,53.2
1259,50.3
1260,47.5
1262,52.9
1264,58.9
1266,53.1
1267,38.1
1270,47.9
1301,42.8
1330,48.6
1331,41
1337,47.6
1338,50.1
1339,47.1
1340,46.2
1341,46.2
1342,44.3
1343,43.5
1344,41.6
1346,49.3
1347,41.5
1349,41.8
1350,41.8
1351,45.1
1354,46.8
1355,47.5
1360,44.8
1364,41.3
1366,47.7
1367,50.2
1368,45.6
1370,47.5
1373,45.8
1375,31.1
1376,42.4
1378,47.9
1379,47.7
1420,34.8
1430,40.9
1431,42.6
1432,39.5
1434,29.6
1436,42.1
1438,40.4
1440,40.7
1450,42.5
1451,46.8
1452,41.6
1453,40
1460,43
1462,43.7
1463,41.6
1464,39.2
1467,48.9
1468,41.4
1469,41.3
1473,42.8
1474,42.8
1475,38.7
1501,43.6
1503,46.1
1504,39.8
1505,44.5
1506,43.6
1507,41.2
1510,39.3
1515,41.7
1516,39.3
1518,41
1519,40.5
1520,42.4
1521,42.6
1522,41.1
1523,39.4
1524,40.7
1525,37.1
1527,42
1529,37.8
1531,43.3
1532,42.5
1534,40.2
1535,41.7
1536,39.9
1537,41.7
1540,40.6
1541,46.8
1542,40.2
1543,39
1545,40.4
1550,38.3
1560,35.4
1561,22.8
1562,41.7
1564,44
1566,41.9
1568,41.5
1569,41.2
1570,40.9
1571,38.3
1581,39.8
1583,45.1
1585,46.2
1588,39.4
1590,42.5
1602,39.2
1603,34.8
1604,35.7
1605,33.2
1606,38.9
1607,34.4
1608,28.7
1609,27.6
1610,24.8
1611,38.2
1612,39.2
1701,43.3
1702,33.7
1718,42.9
1719,43.3
1720,41.9
1721,40.1
1730,45.3
1731,22.7
1740,42.8
1741,46.9
1742,46.9
1745,43.4
1746,42.9
1747,41.8
1748,40.3
1749,41
1752,38.5
1754,41.3
1756,42.1
1757,39.1
1760,41.1
1770,45.5
1772,41.6
1773,49.3
1775,43.5
1776,42.5
1778,45.3
1801,40.2
1803,41.6
1810,42.1
1821,40
1824,43.7
1826,39.9
1827,42.9
1830,40
1832,37
1833,41.8
1834,43.5
1835,38.6
1840,36.4
1841,29.4
1843,31.9
1844,39.3
1845,40.1
1850,32.2
1851,31.9
1852,34.9
1854,30.5
1860,43.7
1862,40.7
1863,41.4
1864,42
1867,42.1
1876,42.7
1879,40.6
1880,41.9
1886,42
1887,41.1
1890,42.7
1901,46.6
1902,33.1
1904,40.9
1905,32.3
1906,43.9
1907,45.5
1908,50.6
1913,41.2
1915,40.1
1921,45.3
1922,44.2
1923,44.2
1929,44.3
1930,46.4
1937,50.7
1938,46.6
1940,45
1944,47.6
1945,45.7
1949,41.5
1950,45.9
1951,48.3
1952,45.1
1960,44.5
1966,51.2
1969,43.3
1970,37.5
1982,40.8
1983,45.9
1984,26.8
1985,44.9
2019,40.3
2021,42.3
2025,43.6
2026,43.4
2030,44.5
2032,41.2
2035,42
2038,38.7
2043,44.4
2045,47.4
2047,54.3
2048,38.6
2050,43.2
2052,42.5
2053,41.2
2054,42.5
2056,42.2
2061,43.8
2062,41.1
2066,44.9
2067,43.3
2071,35.6
2072,42.9
2081,42.9
2090,43.9
2093,43.6
2108,37.2
2109,35.9
2110,52.5
2111,34.2
2113,28.9
2114,31.2
2115,22.4
2116,33.7
2118,34
2119,33.6
2120,22.8
2121,30.1
2122,34.2
2124,34.2
2125,30.9
2126,36.7
2127,32
2128,32.1
2129,34.4
2130,34.7
2131,37.7
2132,43.9
2134,26.1
2135,28.4
2136,36.9
2138,28.7
2139,29.3
2140,34.8
2141,32.2
2142,30.1
2143,32.1
2144,30.8
2145,33
2148,36.3
2149,35.3
2150,31.8
2151,37.9
2152,43.7
2155,36.5
2163,25.2
2169,38.6
2170,39.3
2171,40.7
2176,41.9
2180,44.3
2184,41.6
2186,41.4
2188,42.1
2189,39.3
2190,41.6
2191,44.7
2199,36.1
2203,0
2210,33.5
2215,21.7
2301,35.6
2302,36.4
2322,44
2324,36.7
2330,42.3
2332,44.8
2333,40.5
2338,42.8
2339,41.8
2341,40.4
2343,41.3
2346,41.2
2347,42.4
2351,39.5
2356,41.1
2357,20
2359,40.8
2360,41.5
2364,42.3
2366,36.7
2367,44.4
2368,39.9
2370,40.2
2375,41.7
2379,43.9
2382,38.2
2420,46.3
2421,45.1
2445,35.1
2446,32.3
2451,39.2
2452,31.6
2453,32.2
2457,20.5
2458,40.1
2459,42
2460,42
2461,42.1
2462,49.3
2464,40.6
2465,42.9
2466,36.8
2467,25
2468,47.1
2472,38.3
2474,40.5
2476,43.6
2478,41.5
2481,37.4
2482,43.6
2492,43.2
2493,45.1
2494,42.4
