zip_code,distance,city,state
80131,19.042,Louviers,CO
80125,18.671,Littleton,CO
80127,17.672,Littleton,CO
80130,15.767,Littleton,CO
80124,16.162,Lone Tree,CO
80126,14.75,Littleton,CO
80129,14.277,Littleton,CO
80128,13.708,Littleton,CO
80112,14.194,Englewood,CO
80122,12.069,Littleton,CO
80160,11.207,Littleton,CO
80161,11.207,Littleton,CO
80162,11.207,Littleton,CO
80163,11.207,Littleton,CO
80165,11.207,Littleton,CO
80166,11.207,Littleton,CO
80120,10.949,Littleton,CO
80016,18.673,Aurora,CO
80465,14.823,Morrison,CO
80121,10.088,Littleton,CO
80111,11.503,Englewood,CO
80123,10.144,Littleton,CO
80015,14.452,Aurora,CO
80454,15.775,Indian Hills,CO
80237,9.265,Denver,CO
80150,7.742,Englewood,CO
80151,7.742,Englewood,CO
80155,7.742,Englewood,CO
80113,7.62,Englewood,CO
80110,7.36,Englewood,CO
80235,8.719,Denver,CO
80457,17.16,Kittredge,CO
80236,7.285,Denver,CO
80013,13.803,Aurora,CO
80453,14.42,Idledale,CO
80014,10.438,Aurora,CO
80227,7.685,Denver,CO
80222,6.695,Denver,CO
80231,8.048,Denver,CO
80210,5.523,Denver,CO
80232,6.675,Denver,CO
80224,6.366,Denver,CO
80018,16.938,Aurora,CO
80040,10.838,Aurora,CO
80041,10.838,Aurora,CO
80042,10.838,Aurora,CO
80044,10.838,Aurora,CO
80046,10.838,Aurora,CO
80047,10.838,Aurora,CO
80228,10.142,Denver,CO
80219,4.411,Denver,CO
80223,3.894,Denver,CO
80017,11.867,Aurora,CO
80247,7.309,Denver,CO
80012,9.229,Aurora,CO
80246,4.786,Denver,CO
80209,3.551,Denver,CO
80226,5.676,Denver,CO
80401,12.9,Golden,CO
80230,6.119,Denver,CO
80419,11.049,Golden,CO
80402,11.395,Golden,CO
80206,2.807,Denver,CO
80218,2.031,Denver,CO
80203,1.606,Denver,CO
80220,4.471,Denver,CO
80204,1.695,Denver,CO
80011,11.481,Aurora,CO
80010,7.207,Aurora,CO
80264,0.914,Denver,CO
80214,3.851,Denver,CO
80290,0.793,Denver,CO
80215,6.32,Denver,CO
80293,0.557,Denver,CO
80045,8.466,Aurora,CO
80294,0.459,Denver,CO
80202,0,Denver,CO
80205,1.888,Denver,CO
80201,6.779,Denver,CO
80208,6.779,Denver,CO
80217,6.779,Denver,CO
80225,6.779,Denver,CO
80243,6.779,Denver,CO
80244,6.779,Denver,CO
80248,6.779,Denver,CO
80250,6.779,Denver,CO
80251,6.779,Denver,CO
80252,6.779,Denver,CO
80256,6.779,Denver,CO
80257,6.779,Denver,CO
80259,6.779,Denver,CO
80261,6.779,Denver,CO
80262,6.779,Denver,CO
80263,6.779,Denver,CO
80265,6.779,Denver,CO
80266,6.779,Denver,CO
80271,6.779,Denver,CO
80273,6.779,Denver,CO
80274,6.779,Denver,CO
80279,6.779,Denver,CO
80280,6.779,Denver,CO
80281,6.779,Denver,CO
80291,6.779,Denver,CO
80295,6.779,Denver,CO
80299,6.779,Denver,CO
80207,4.351,Denver,CO
80211,1.6,Denver,CO
80034,5.085,Wheat Ridge,CO
80238,6.266,Denver,CO
80212,3.017,Denver,CO
80033,5.868,Wheat Ridge,CO
80019,15.857,Aurora,CO
80239,8.782,Denver,CO
80216,3.327,Denver,CO
80002,6.443,Arvada,CO
80221,4.56,Denver,CO
80004,8.095,Arvada,CO
80001,7.195,Arvada,CO
80006,7.195,Arvada,CO
80003,6.164,Arvada,CO
80030,5.852,Westminster,CO
80403,17.072,Golden,CO
80024,7.632,Dupont,CO
80005,9.907,Arvada,CO
80249,17.504,Denver,CO
80229,7.456,Denver,CO
80037,10.441,Commerce City,CO
80007,12.856,Arvada,CO
80260,7.958,Denver,CO
80031,8.704,Westminster,CO
80022,13.755,Commerce City,CO
80035,9.279,Westminster,CO
80036,9.279,Westminster,CO
80640,11.214,Henderson,CO
80021,11.4,Broomfield,CO
80233,10.562,Denver,CO
80234,10.926,Denver,CO
80614,11.778,Eastlake,CO
80241,12.477,Thornton,CO
80020,13.013,Broomfield,CO
80025,19.989,Eldorado Springs,CO
80038,13.408,Broomfield,CO
80028,15.638,Louisville,CO
80027,16.211,Louisville,CO
80601,17.661,Brighton,CO
80602,15.548,Brighton,CO
80303,18.978,Boulder,CO
80023,15.484,Broomfield,CO
80026,18.792,Lafayette,CO
