,zip_code,distance,city,state
208,90071,0.0,"""Los Angeles""","""CA"""
200,90081,0.355,"""Los Angeles""","""CA"""
199,90074,0.355,"""Los Angeles""","""CA"""
201,90084,0.355,"""Los Angeles""","""CA"""
202,90088,0.355,"""Los Angeles""","""CA"""
207,90017,0.525,"""Los Angeles""","""CA"""
216,90189,0.573,"""Los Angeles""","""CA"""
190,90014,0.701,"""Los Angeles""","""CA"""
189,90079,0.852,"""Los Angeles""","""CA"""
187,90055,0.9390000000000001,"""Los Angeles""","""CA"""
193,90013,0.971,"""Los Angeles""","""CA"""
217,90051,0.9840000000000001,"""Los Angeles""","""CA"""
186,90015,1.1420000000000001,"""Los Angeles""","""CA"""
232,90012,1.3119999999999998,"""Los Angeles""","""CA"""
226,90057,1.3869999999999998,"""Los Angeles""","""CA"""
203,90053,1.4569999999999999,"""Los Angeles""","""CA"""
219,90054,1.525,"""Los Angeles""","""CA"""
220,90086,1.525,"""Los Angeles""","""CA"""
221,90087,1.525,"""Los Angeles""","""CA"""
222,90099,1.525,"""Los Angeles""","""CA"""
218,90030,1.525,"""Los Angeles""","""CA"""
240,90090,1.607,"""Dodgertown""","""CA"""
179,90021,1.919,"""Los Angeles""","""CA"""
249,90026,1.9240000000000002,"""Los Angeles""","""CA"""
196,90006,2.256,"""Los Angeles""","""CA"""
176,90007,2.415,"""Los Angeles""","""CA"""
204,90033,2.4659999999999997,"""Los Angeles""","""CA"""
172,90089,2.8689999999999998,"""Los Angeles""","""CA"""
212,90005,2.984,"""Los Angeles""","""CA"""
156,90011,3.1689999999999996,"""Los Angeles""","""CA"""
213,90070,3.1860000000000004,"""Los Angeles""","""CA"""
214,90075,3.1860000000000004,"""Los Angeles""","""CA"""
215,90076,3.1860000000000004,"""Los Angeles""","""CA"""
233,90020,3.283,"""Los Angeles""","""CA"""
253,90029,3.412,"""Los Angeles""","""CA"""
227,90010,3.535,"""Los Angeles""","""CA"""
244,90004,3.565,"""Los Angeles""","""CA"""
250,90031,3.571,"""Los Angeles""","""CA"""
255,90072,3.622,"""Los Angeles""","""CA"""
149,90082,3.752,"""Los Angeles""","""CA"""
173,90023,3.812,"""Los Angeles""","""CA"""
178,90018,3.912,"""Los Angeles""","""CA"""
153,90037,3.94,"""Los Angeles""","""CA"""
192,90063,4.005,"""Los Angeles""","""CA"""
275,90039,4.091,"""Los Angeles""","""CA"""
154,90058,4.096,"""Los Angeles""","""CA"""
245,90032,4.337,"""Los Angeles""","""CA"""
276,90065,4.441,"""Los Angeles""","""CA"""
155,90062,4.593,"""Los Angeles""","""CA"""
279,91225,4.645,"""Glendale""","""CA"""
252,90038,4.724,"""Los Angeles""","""CA"""
163,90102,4.771,"""Los Angeles""","""CA"""
197,90019,4.793,"""Los Angeles""","""CA"""
266,90078,4.931,"""Los Angeles""","""CA"""
254,90093,5.003,"""Los Angeles""","""CA"""
265,90028,5.231,"""Los Angeles""","""CA"""
127,90001,5.457000000000001,"""Los Angeles""","""CA"""
132,90255,5.529,"""Huntington Park""","""CA"""
238,90036,5.577000000000001,"""Los Angeles""","""CA"""
277,90042,5.59,"""Los Angeles""","""CA"""
280,90050,5.603,"""Los Angeles""","""CA"""
285,90027,5.638,"""Los Angeles""","""CA"""
122,90052,5.736000000000001,"""Los Angeles""","""CA"""
294,91204,5.765,"""Glendale""","""CA"""
296,91205,5.807,"""Glendale""","""CA"""
177,90016,5.9239999999999995,"""Los Angeles""","""CA"""
