,zip_code,distance,city,state
372,10019,0.0,"""New York""","""NY"""
356,10036,0.48,"""New York""","""NY"""
380,10082,0.485,"""New York""","""NY"""
360,10149,0.561,"""New York""","""NY"""
355,10112,0.602,"""New York""","""NY"""
362,10103,0.617,"""New York""","""NY"""
354,10111,0.6890000000000001,"""New York""","""NY"""
350,10020,0.693,"""New York""","""NY"""
392,10069,0.723,"""New York""","""NY"""
391,10023,0.737,"""New York""","""NY"""
344,10018,0.784,"""New York""","""NY"""
368,10153,0.795,"""New York""","""NY"""
340,10110,0.8290000000000001,"""New York""","""NY"""
338,10173,0.91,"""New York""","""NY"""
351,10152,0.934,"""New York""","""NY"""
342,10177,0.953,"""New York""","""NY"""
349,10154,0.9590000000000001,"""New York""","""NY"""
346,10171,0.972,"""New York""","""NY"""
339,10169,0.976,"""New York""","""NY"""
343,10172,0.983,"""New York""","""NY"""
341,10167,1.015,"""New York""","""NY"""
334,10165,1.048,"""New York""","""NY"""
337,10170,1.094,"""New York""","""NY"""
324,10072,1.103,"""New York""","""NY"""
325,10098,1.103,"""New York""","""NY"""
326,10119,1.114,"""New York""","""NY"""
329,10199,1.12,"""New York""","""NY"""
330,10168,1.131,"""New York""","""NY"""
353,10022,1.135,"""New York""","""NY"""
327,10001,1.166,"""New York""","""NY"""
331,10174,1.176,"""New York""","""NY"""
336,10017,1.214,"""New York""","""NY"""
370,10065,1.262,"""New York""","""NY"""
312,10016,1.504,"""New York""","""NY"""
378,10021,1.517,"""New York""","""NY"""
389,10075,1.7,"""New York""","""NY"""
375,07086,1.745,"""Weehawken""","""NJ"""
307,10011,1.7819999999999998,"""New York""","""NY"""
303,10010,1.864,"""New York""","""NY"""
393,10028,1.9140000000000001,"""New York""","""NY"""
379,10162,1.964,"""New York""","""NY"""
363,10044,1.9680000000000002,"""New York""","""NY"""
407,07093,1.992,"""West New York""","""NJ"""
316,11109,2.0780000000000003,"""Long Island City""","""NY"""
398,10128,2.226,"""New York""","""NY"""
416,10024,2.347,"""New York""","""NY"""
296,10003,2.349,"""New York""","""NY"""
373,07087,2.371,"""Union City""","""NJ"""
297,10014,2.4219999999999997,"""New York""","""NY"""
417,10025,2.508,"""New York""","""NY"""
313,07030,2.737,"""Hoboken""","""NJ"""
281,10009,2.761,"""New York""","""NY"""
411,07047,2.782,"""North Bergen""","""NJ"""
319,11101,2.818,"""Long Island City""","""NY"""
280,10012,2.841,"""New York""","""NY"""
